date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,rmse,mae,crps,pit,in_band
2021-10-29,2021-11-01,USGG5YR Index,2,1.1483846211332613,1.1809330843709822,1.212820249399175,1.1767,0.0038244798977831174,0.0038244798977831174,0.0041705886893810395,0.429,True
2021-10-29,2021-11-01,USGG7YR Index,2,1.399420976770701,1.4299823702468575,1.4600005185171152,1.441,0.011455959253001025,0.011455959253001025,0.006575285073761046,0.726,True
2021-10-29,2021-11-01,USGG10YR Index,2,1.7093990104924601,1.73752417587239,1.7649738880363508,1.5557,0.1813984645978064,0.1813984645978064,0.17180795443450125,0.0,False
2021-10-29,2021-11-01,USGG30YR Index,2,2.562667407003686,2.580461536805384,2.5977106244177683,1.9576,0.6228424026669177,0.6228424026669177,0.6169637049923221,0.0,False
2021-11-01,2021-11-02,USGG2YR Index,2,0.6955544872580651,0.7324690159791163,0.7675258696313417,0.4499,0.2820418988548407,0.2820418988548407,0.268793636936515,0.0,False
2021-11-01,2021-11-02,USGG3YR Index,2,0.8588051081861348,0.8944538312738828,0.9284871416238331,0.7162,0.17775330954811752,0.17775330954811752,0.16610592467392324,0.0,False
2021-11-01,2021-11-02,USGG5YR Index,2,1.1507320791022728,1.1840956832021199,1.2161216054847819,1.1476,0.03597902654649632,0.03597902654649632,0.02358895960886468,0.037,False
2021-11-01,2021-11-02,USGG7YR Index,2,1.4014300650932427,1.4327527385966712,1.4628514164601927,1.4174,0.014745825146531999,0.014745825146531999,0.009499597257268576,0.211,True
2021-11-01,2021-11-02,USGG10YR Index,2,1.7104058590232714,1.7398131318765417,1.7672516500972857,1.5488,0.19031622061585152,0.19031622061585152,0.18116096632765513,0.0,False
2021-11-01,2021-11-02,USGG30YR Index,2,2.5625584978028515,2.5804743687130967,2.597716765636788,1.9589,0.621502402770836,0.621502402770836,0.6153852909895182,0.0,False
2021-11-02,2021-11-03,USGG2YR Index,2,0.6766863893882378,0.7131898299454991,0.7498113385961178,0.4659,0.2467924232519415,0.2467924232519415,0.23479557422597613,0.0,False
2021-11-02,2021-11-03,USGG3YR Index,2,0.8401598972281268,0.8754464225803269,0.9110982187297355,0.754,0.12113268500286356,0.12113268500286356,0.11055668882963536,0.0,False
2021-11-02,2021-11-03,USGG5YR Index,2,1.1328996260687003,1.1657422289093122,1.1995097741522727,1.1881,0.022523967270364764,0.022523967270364764,0.014022807895456027,0.861,True
2021-11-02,2021-11-03,USGG7YR Index,2,1.3843040902396184,1.415237501901117,1.4469167411257717,1.4599,0.044990033278062835,0.044990033278062835,0.03376901646139449,0.99,False
2021-11-02,2021-11-03,USGG10YR Index,2,1.6946006651247212,1.7231146053830404,1.7522269194489275,1.6034,0.11954360128920216,0.11954360128920216,0.10890196026083301,0.0,False
2021-11-02,2021-11-03,USGG30YR Index,2,2.5513468533499375,2.5697514002099187,2.5870088086071448,2.0203,0.5489721484298089,0.5489721484298089,0.5427020034308762,0.0,False
2021-11-03,2021-11-04,USGG2YR Index,2,0.698162563516573,0.7355012449645113,0.772157346032666,0.4244,0.3110357404098414,0.3110357404098414,0.29820978948436494,0.0,False
2021-11-03,2021-11-04,USGG3YR Index,2,0.8611450571037197,0.8973352977452436,0.9326725271963857,0.6895,0.20767020871425645,0.20767020871425645,0.19637080208521535,0.0,False
2021-11-03,2021-11-04,USGG5YR Index,2,1.1523609954559308,1.186490741861238,1.2197886660821462,1.1105,0.07580370214424903,0.07580370214424903,0.06441094354156532,0.0,False
2021-11-03,2021-11-04,USGG7YR Index,2,1.4021793943891119,1.4346952750856763,1.4658355597310104,1.3797,0.05475173098600039,0.05475173098600039,0.0447372362801641,0.004,False
2021-11-03,2021-11-04,USGG10YR Index,2,1.7108790462815269,1.7412469245119762,1.7696289481183645,1.5262,0.21471146800195706,0.21471146800195706,0.204675200327738,0.0,False
2021-11-03,2021-11-04,USGG30YR Index,2,2.5630800319143154,2.5809750862891665,2.598121886509177,1.9631,0.6178176588724484,0.6178176588724484,0.6110067978437147,0.0,False
2021-11-04,2021-11-05,USGG2YR Index,2,0.6555128623427788,0.6946253349863163,0.7295366706599977,0.4008,0.2921794769465665,0.2921794769465665,0.27907709741274983,0.0,False
2021-11-04,2021-11-05,USGG3YR Index,2,0.8193866414300323,0.8575070318665775,0.8915326708662521,0.6573,0.1985134806033524,0.1985134806033524,0.1849353169804211,0.0,False
